"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","DEFICIENCIA","COR_RACA","num_idade","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
CURSANDO,1,2022-01-13 00:00:00.000,"2022","1","2013","2",MONDUBIM                      ,FORTALEZA                     ,CE,"0",1,27,99,,,
CURSANDO,2,2022-01-13 00:00:00.000,"2022","1","2013","1",MESSEJANA                     ,FORTALEZA                     ,CE,"0",2,28,99,,,
CURSANDO,3,2022-01-13 00:00:00.000,"2022","1","2006","1",DOM LUSTOSA                   ,FORTALEZA                     ,CE,"0",3,34,99,,,
DESISTENTE,4,2023-08-11 00:00:00.000,"2022","1","1997","1",JOAO XXIII                    ,FORTALEZA                     ,CE,"0",3,43,99,,,
CURSANDO,5,2022-01-13 00:00:00.000,"2022","1","2013","2",ALVARO WEYNE                  ,FORTALEZA                     ,CE,"0",3,27,99,,,
CURSANDO,6,2022-02-22 00:00:00.000,"2022","1","2019","2",DENDE                         ,FORTALEZA                     ,CE,"0",2,21,2,1,64.0,62.7372
CURSANDO,7,2022-02-22 00:00:00.000,"2022","1","2018","1",AGUAS BELAS                   ,CASCAVEL                      ,CE,"0",3,22,2,1,74.0,66.3071
CURSANDO,8,2022-02-22 00:00:00.000,"2022","1","2020","2",PICI                          ,FORTALEZA                     ,CE,"0",1,21,3,1,94.0,70.591
ABANDONO,9,2023-11-27 16:45:00.000,"2022","1","2021","1",PARQUELANDIA                  ,FORTALEZA                     ,CE,"2",0,19,1,1,104.0,66.3071
ABANDONO,10,2023-11-27 16:45:00.000,"2022","1","2020","1",NOVO ORIENTE                  ,MARACANAU                     ,CE,"0",0,20,3,2,86.0,63.4511
CURSANDO,11,2022-02-22 00:00:00.000,"2022","1","1994","2",CENTRO                        ,FORTALEZA                     ,CE,"0",3,47,2,2,58.0,62.0232
CURSANDO,12,2022-02-22 00:00:00.000,"2022","1","2020","2",BARROSO                       ,FORTALEZA                     ,CE,"0",3,20,2,3,62.0,65.5931
CURSANDO,13,2022-02-22 00:00:00.000,"2022","1","2020","1",MONDUBIM                      ,FORTALEZA                     ,CE,"0",1,21,3,3,82.0,63.4511
ABANDONO,14,2023-11-27 16:45:00.000,"2022","1","2020","1",NOVA METROPOLE JUREMA         ,CAUCAIA                       ,CE,"0",1,20,3,4,70.0,64.1651
CURSANDO,15,2022-02-22 00:00:00.000,"2022","1","2021","1",AUTRAN NUNES                  ,FORTALEZA                     ,CE,"0",3,19,2,4,62.0,57.0253
CURSANDO,16,2022-02-22 00:00:00.000,"2022","1","2019","2",JOSE WALTER                   ,FORTALEZA                     ,CE,"0",3,21,3,5,74.0,70.591
CURSANDO,17,2022-02-22 00:00:00.000,"2022","1","2021","1",SANTO ANTONIO                 ,EUSEBIO                       ,CE,"0",1,21,3,6,68.0,62.0232
DESISTENTE,18,2022-08-18 00:00:00.000,"2022","1","2021","1",SAO GERARDO                   ,FORTALEZA                     ,CE,"0",1,20,99,2,140.0,70.591
ABANDONO,19,2023-11-27 16:45:00.000,"2022","1","2021","1",DIONISIO TORRES               ,FORTALEZA                     ,CE,"0",0,19,99,5,136.0,70.591
ABANDONO,20,2023-11-27 16:45:00.000,"2022","1","2020","1",MONDUBIM                      ,FORTALEZA                     ,CE,"0",3,21,99,12,130.0,67.0211
DESISTENTE,21,2022-03-03 00:00:00.000,"2022","1","2020","1",SAPIRANGA                     ,FORTALEZA                     ,CE,"0",1,21,99,13,114.0,65.5931
ABANDONO,22,2023-11-27 16:45:00.000,"2022","1","2014","1",JOQUEI CLUBE                  ,FORTALEZA                     ,CE,"0",1,26,99,16,122.0,66.3071
ABANDONO,23,2023-11-27 16:45:00.000,"2022","1","2021","1",BENFICA                       ,FORTALEZA                     ,CE,"0",1,19,99,17,130.0,69.877
ABANDONO,24,2023-11-27 16:45:00.000,"2022","1","2021","1",COACU                         ,EUSEBIO                       ,CE,"0",1,20,99,18,122.0,64.8791
DESISTENTE,25,2022-03-11 00:00:00.000,"2022","1","2021","1",CONJUNTO CEARA                ,FORTALEZA                     ,CE,"0",3,19,99,20,130.0,69.877
DESISTENTE,26,2022-03-30 00:00:00.000,"2022","1","2021","1",Fátima                        ,Fortaleza                     ,CE,"0",0,20,99,24,130.0,67.735
DESISTENTE,27,2022-02-11 00:00:00.000,"2022","1","2021","1",COACU                         ,EUSEBIO                       ,CE,"0",1,19,99,25,126.0,69.163
CURSANDO,28,2022-02-22 00:00:00.000,"2022","1","2021","2",EDSON QUEIROZ                 ,FORTALEZA                     ,CE,"5",1,19,99,26,134.0,70.591
DESISTENTE,29,2022-03-11 00:00:00.000,"2022","1","2021","1",MEIRELES                      ,FORTALEZA                     ,CE,"0",1,20,99,28,130.0,68.449
CURSANDO,30,2022-02-22 00:00:00.000,"2022","1","2021","1",ALTO DA BALANCA               ,FORTALEZA                     ,CE,"0",2,20,99,2,114.0,70.591
CURSANDO,31,2022-02-22 00:00:00.000,"2022","1","2021","1",MONTESE                       ,FORTALEZA                     ,CE,"0",1,20,99,3,130.0,69.163
CURSANDO,32,2022-02-22 00:00:00.000,"2022","1","2021","2",SERRINHA                      ,FORTALEZA                     ,CE,"0",1,20,99,4,122.0,68.449
DESISTENTE,33,2022-03-18 00:00:00.000,"2022","1","2021","1",MEIRELES                      ,FORTALEZA                     ,CE,"0",1,19,99,7,126.0,65.5931
ABANDONO,34,2023-11-27 16:45:00.000,"2022","1","2021","1",ALDEOTA                       ,FORTALEZA                     ,CE,"0",1,19,99,8,120.0,67.735
DESISTENTE,35,2022-03-10 00:00:00.000,"2022","1","2021","1",COCO                          ,FORTALEZA                     ,CE,"0",1,20,99,9,110.0,67.735
CURSANDO,36,2022-02-22 00:00:00.000,"2022","1","2021","1",NOVO MONDUBIM                 ,FORTALEZA                     ,CE,"0",0,19,99,10,102.0,70.591
DESISTENTE,37,2022-03-10 00:00:00.000,"2022","1","2021","1",PASSARE                       ,FORTALEZA                     ,CE,"0",1,19,99,11,110.0,67.0211
CURSANDO,38,2022-02-22 00:00:00.000,"2022","1","2021","1",PARQUE IRACEMA                ,FORTALEZA                     ,CE,"0",0,21,99,12,132.0,66.3071
DESISTENTE,39,2022-03-16 00:00:00.000,"2022","1","2021","1",GUARARAPES                    ,FORTALEZA                     ,CE,"0",1,19,99,13,108.0,62.7372
CURSANDO,40,2022-02-22 00:00:00.000,"2022","1","2021","1",MESSEJANA                     ,FORTALEZA                     ,CE,"0",1,19,99,15,118.0,67.0211
CURSANDO,41,2022-02-22 00:00:00.000,"2022","1","2021","1",CONJ MIRASSOL                 ,FORTALEZA                     ,CE,"0",1,19,99,18,104.0,69.163
CURSANDO,42,2022-02-22 00:00:00.000,"2022","1","2021","1",SAO BENTO                     ,FORTALEZA                     ,CE,"0",1,19,99,20,120.0,67.735
