"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","LO_ProvavelConcludente","DEFICIENCIA","COR_RACA","num_idade","BOLSA_CONTA_BANCO_ID","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
TRANSFERIDO,1,2016-09-16 00:00:00.000,"2015","1","2014","2",CID DOS FUNCIONARIOS          ,FORTALEZA                     ,CE,0,"0",1,26,,99,,,
GRADUADO,2,2023-01-18 00:00:00.000,"2015","1","2013","1",PARANGABA                     ,FORTALEZA                     ,CE,0,"0",1,27,,99,88,70.0,58.4666
ABANDONO,3,2023-08-28 15:26:00.000,"2015","1","2014","1",ALDEOTA                       ,FORTALEZA                     ,CE,0,"0",1,26,,99,6,80.0,73.6831
TRANSFERIDO,4,2018-06-08 00:00:00.000,"2015","1","2014","1",JOAQUIM TAVORA                ,FORTALEZA                     ,CE,0,"0",4,26,,99,9,82.0,68.1882
CANCELADO,5,2019-07-12 16:08:00.000,"2015","1","2014","1",COCO                          ,FORTALEZA                     ,CE,0,"0",0,26,237,99,21,84.0,69.0336
TRANSFERIDO,6,2016-09-01 00:00:00.000,"2015","1","2013","1",JOAQUIM TAVORA                ,FORTALEZA                     ,CE,0,"0",1,27,,99,43,78.0,67.3429
CURSANDO,7,2015-03-10 11:10:43.023,"2015","1","2014","1",PARQUE SANTO AMARO            ,FORTALEZA                     ,CE,1,"0",3,25,,99,50,70.0,72.8377
DESISTENTE,8,2016-03-03 00:00:00.000,"2015","1","2014","1",MONDUBIM                      ,FORTALEZA                     ,CE,0,"0",1,26,,99,56,70.0,73.6831
GRADUADO,9,2020-01-10 00:00:00.000,"2015","1","2014","1",SERRINHA                      ,FORTALEZA                     ,CE,0,"0",1,26,,99,59,72.0,52.9717
DESISTENTE,10,2016-01-19 00:00:00.000,"2015","1","2014","1",SITIO PENHA                   ,PARAIPABA                     ,CE,0,"0",3,25,,99,66,68.0,68.6109
GRADUADO,11,2019-11-25 00:00:00.000,"2015","1","2014","1",PARQUE IRACEMA                ,FORTALEZA                     ,CE,0,"0",1,26,237,99,79,72.0,67.7655
TRANSFERIDO,12,2016-10-11 00:00:00.000,"2015","1","2014","2",NOVO MONDUBIM                 ,FORTALEZA                     ,CE,0,"0",3,25,,99,81,82.0,53.8171
ABANDONO,13,2023-08-28 15:26:00.000,"2015","1","2014","1",MARAPONGA                     ,FORTALEZA                     ,CE,0,"0",1,27,,99,83,68.0,63.5387
CURSANDO,14,2023-11-08 00:00:00.000,"2015","1","2014","1",ZONA RURAL                    ,BEBERIBE                      ,CE,0,"0",3,26,237,99,87,70.0,66.0748
ABANDONO,15,2023-08-28 15:26:00.000,"2015","1","2014","2",JOCKEY CLUB                   ,FORTALEZA                     ,CE,0,"0",1,26,,99,96,68.0,59.7346
DESISTENTE,16,2017-06-01 00:00:00.000,"2015","1","2014","1",FATIMA                        ,FORTALEZA                     ,CE,0,"0",1,26,,99,13,98.0,69.879
ABANDONO,17,2023-08-28 15:26:00.000,"2015","1","2000","1",PASSARÉ                       ,FORTALEZA                     ,CE,0,"0",2,41,,2,1,,
ABANDONO,18,2023-08-28 15:26:00.000,"2015","1","2003","1",PIRATININGA                   ,MARACANAÚ                     ,CE,0,"0",3,38,,2,4,,
DESISTENTE,19,2015-07-29 00:00:00.000,"2015","1","2013","1",SERRINHA                      ,FORTALEZA                     ,CE,0,"0",2,26,,3,2,,
DESISTENTE,20,2015-06-25 00:00:00.000,"2015","1","2015","1",PLANALTO AYRTON SENNA         ,FORTALEZA                     ,CE,0,"0",2,25,,3,1,,
ABANDONO,21,2023-08-28 15:26:00.000,"2015","1","2014","1",CAXITORE                      ,UMIRIM                        ,CE,0,"0",3,25,,2,5,,
ABANDONO,22,2023-08-28 15:26:00.000,"2015","1","1987","1",GRANJA LISBOA                 ,FORTALEZA                     ,CE,0,"0",3,56,,3,3,,
ABANDONO,23,2023-08-28 15:26:00.000,"2015","1","2005","1",BOA VISTA                     ,FORTALEZA                     ,CE,0,"0",3,35,,2,3,,
DESISTENTE,24,2016-05-25 00:00:00.000,"2015","1","2014","1",ÁLVARO WEYNE                  ,FORTALEZA                     ,CE,0,"0",3,26,,2,6,,
DESISTENTE,25,2017-03-02 00:00:00.000,"2015","1","2014","1",NOVO MONDUBIM                 ,FORTALEZA                     ,CE,0,"2",2,26,,3,3,,
ABANDONO,26,2023-08-28 15:26:00.000,"2015","1","2014","1",JOÃO XXIII                    ,FORTALEZA                     ,CE,0,"0",3,26,,2,1,,
ABANDONO,27,2023-08-28 15:26:00.000,"2015","1","2014","1",VILA PERI                     ,FORTALEZA                     ,CE,0,"0",3,45,,3,1,,
GRADUADO,28,2023-02-24 00:00:00.000,"2015","1","1996","1",ITAOCA                        ,FORTALEZA                     ,CE,0,"0",5,46,1,2,1,,
ABANDONO,29,2023-08-28 15:26:00.000,"2015","1","2005","1",PLANALTO HORIZONTE            ,HORIZONTE                     ,CE,0,"0",2,36,,2,6,,
ABANDONO,30,2023-08-28 15:26:00.000,"2015","1","1989","1",JOQUEI CLUBE                  ,FORTALEZA                     ,CE,0,"0",3,51,,2,16,,
DESISTENTE,31,2016-03-03 00:00:00.000,"2015","1","2015","1",MESSEJANA                     ,FORTALEZA                     ,CE,0,"0",5,26,,2,38,,
CURSANDO,32,2015-03-18 09:22:28.513,"2015","1","2005","1",AUTRAN NUNES                  ,FORTALEZA                     ,CE,0,"0",3,36,237,2,30,,
ABANDONO,33,2023-08-28 15:26:00.000,"2015","1","2014","1",PADRE ANDRADE                 ,FORTALEZA                     ,CE,0,"0",3,28,,2,54,,
ABANDONO,34,2023-08-28 15:26:00.000,"2015","1","2014","1",SERRINHA                      ,FORTALEZA                     ,CE,0,"0",1,53,,3,20,,
DESISTENTE,35,2016-09-22 00:00:00.000,"2015","1","2013","1",PASSARÉ                       ,FORTALEZA                     ,CE,0,"0",3,27,,2,231,,
DESISTENTE,36,2017-03-17 00:00:00.000,"2015","1","2014","1",GRANJA LISBOA                 ,FORTALEZA                     ,CE,0,"0",3,27,,2,29,,
DESISTENTE,37,2017-02-06 00:00:00.000,"2015","2","2015","2",BENFICA                       ,FORTALEZA                     ,CE,0,"0",2,44,,99,,,
ABANDONO,38,2023-08-28 15:26:00.000,"2015","2","2015","1",FATIMA                        ,FORTALEZA                     ,CE,0,"0",3,35,,99,,,
TRANSFERIDO,39,2020-03-02 00:00:00.000,"2015","2","2013","1",PARANGABA                     ,FORTALEZA                     ,CE,0,"0",0,41,237,99,,,
DESISTENTE,40,2016-02-02 00:00:00.000,"2015","2","2014","2",ALDEOTA                       ,FORTALEZA                     ,CE,0,"0",1,26,,99,25,88.0,75.3292
DESISTENTE,41,2020-01-27 00:00:00.000,"2015","2","2015","1",FATIMA                        ,FORTALEZA                     ,CE,0,"0",1,24,,99,29,90.0,68.6746
ABANDONO,42,2023-08-28 15:26:00.000,"2015","2","2014","1",PAPICU                        ,FORTALEZA                     ,CE,0,"0",3,25,,99,31,82.0,71.5266
DESISTENTE,43,2017-06-02 00:00:00.000,"2015","2","2011","2",PARANGABA                     ,FORTALEZA                     ,CE,0,"0",3,28,237,99,11,96.0,75.3292
DESISTENTE,44,2016-02-15 00:00:00.000,"2015","2","2014","1",PAPICU                        ,FORTALEZA                     ,CE,0,"0",1,27,,99,16,92.0,75.3292
CURSANDO,45,2015-09-15 12:17:45.470,"2015","2","2015","1",MESSEJANA                     ,FORTALEZA                     ,CE,1,"0",1,26,237,99,38,64.0,72.0019
GRADUADO,46,2021-08-30 00:00:00.000,"2015","2","2011","1",CENTRO                        ,BATURITE                      ,CE,0,"0",3,29,,99,32,80.0,75.3292
ABANDONO,47,2023-08-28 15:26:00.000,"2015","2","2015","1",TABAPUA                       ,CAUCAIA                       ,CE,0,"0",3,27,,99,28,62.0,68.6746
CURSANDO,48,2015-09-22 10:42:22.293,"2015","2","2015","1",DAMAS                         ,FORTALEZA                     ,CE,1,"0",3,27,,99,35,70.0,70.1006
ABANDONO,49,2023-08-28 15:26:00.000,"2015","2","2014","1",VILA VELHA IV                 ,FORTALEZA                     ,CE,0,"0",3,26,,99,37,80.0,67.2486
ABANDONO,50,2023-08-28 15:26:00.000,"2015","2","2015","1",PARANGABA                     ,FORTALEZA                     ,CE,0,"0",3,25,237,99,83,68.0,62.4952
